entity_id,name,first_name,second_name,third_name,father_name,last_name,title,type,quality,description
us-ofac.eaa68b1030b9a3d7424be12089e9c6eb8f2cc24a,MIDCO FINANCIAL S.A.,,,,,MIDCO FINANCIAL S.A.,,a.k.a.,strong,
us-ofac.eaa68b1030b9a3d7424be12089e9c6eb8f2cc24a,MONTANA MANAGEMENT INC.,,,,,MONTANA MANAGEMENT INC.,,a.k.a.,strong,
us-ofac.fa55c640911de21ae249a87875b1a98e7cee5f4c,GENERAL NICKEL SA,,,,,GENERAL NICKEL SA,,a.k.a.,strong,
us-ofac.1d9ecff4a8bfffe7211f243072e4791ed66115fb,Musa Abu MARZUK,Musa Abu,,,,MARZUK,,a.k.a.,strong,
us-ofac.1d9ecff4a8bfffe7211f243072e4791ed66115fb,Dr. Musa ABU-MARZUQ,Dr. Musa,,,,ABU-MARZUQ,,a.k.a.,strong,
us-ofac.1d9ecff4a8bfffe7211f243072e4791ed66115fb,Mousa Mohamed Abou MARZOOK,Mousa Mohamed Abou,,,,MARZOOK,,a.k.a.,strong,
us-ofac.1d9ecff4a8bfffe7211f243072e4791ed66115fb,Sa'id ABU-MARZUQ,Sa'id,,,,ABU-MARZUQ,,a.k.a.,strong,
us-ofac.1d9ecff4a8bfffe7211f243072e4791ed66115fb,ABU-'UMAR,,,,,ABU-'UMAR,,a.k.a.,weak,
us-ofac.1d9ecff4a8bfffe7211f243072e4791ed66115fb,Musa Abu MARZOUK,Musa Abu,,,,MARZOUK,,a.k.a.,strong,
us-ofac.c11997d81a5d2c2b243d50eb7adcdc296da78038,PACHO,,,,,PACHO,,a.k.a.,weak,
us-ofac.c11997d81a5d2c2b243d50eb7adcdc296da78038,H7,,,,,H7,,a.k.a.,weak,
us-ofac.b39c7baba15e0cd6205614c7e7cfc8d14c1474b7,THE CHESS PLAYER,,,,,THE CHESS PLAYER,,a.k.a.,weak,
us-ofac.b39c7baba15e0cd6205614c7e7cfc8d14c1474b7,LUCAS,,,,,LUCAS,,a.k.a.,weak,
us-ofac.5c949e4c416e9bccc3d865a8db699c789063e1d4,EL SENOR,,,,,EL SENOR,,a.k.a.,weak,
us-ofac.5c949e4c416e9bccc3d865a8db699c789063e1d4,PATRICIA,,,,,PATRICIA,,a.k.a.,weak,
us-ofac.5c949e4c416e9bccc3d865a8db699c789063e1d4,PATRICIO,,,,,PATRICIO,,a.k.a.,weak,
us-ofac.5c949e4c416e9bccc3d865a8db699c789063e1d4,PATTY,,,,,PATTY,,a.k.a.,weak,
us-ofac.5c949e4c416e9bccc3d865a8db699c789063e1d4,PAT,,,,,PAT,,a.k.a.,weak,
us-ofac.5c949e4c416e9bccc3d865a8db699c789063e1d4,MANUEL,,,,,MANUEL,,a.k.a.,weak,
us-ofac.5c949e4c416e9bccc3d865a8db699c789063e1d4,MANOLO,,,,,MANOLO,,a.k.a.,weak,
us-ofac.5c949e4c416e9bccc3d865a8db699c789063e1d4,MIKE,,,,,MIKE,,a.k.a.,weak,
us-ofac.5c949e4c416e9bccc3d865a8db699c789063e1d4,MAURO,,,,,MAURO,,a.k.a.,weak,
us-ofac.5c949e4c416e9bccc3d865a8db699c789063e1d4,DOCTOR M.R.O.,,,,,DOCTOR M.R.O.,,a.k.a.,weak,
us-ofac.a3f5d43aaa6a138656204c5ff55a942d140fe2ac,CHEPE,,,,,CHEPE,,a.k.a.,weak,
us-ofac.a3f5d43aaa6a138656204c5ff55a942d140fe2ac,DON CHEPE,,,,,DON CHEPE,,a.k.a.,weak,
us-ofac.a3f5d43aaa6a138656204c5ff55a942d140fe2ac,EL GORDO CHEPE,,,,,EL GORDO CHEPE,,a.k.a.,weak,
us-ofac.47ee212e3dc3456bf12da19661746aed71ef9c92,ANA I,,,,,ANA I,,f.k.a.,strong,
us-ofac.d2178084c5cd351dbbfe390af257c2db1a2f0e05,Dr. Ramadan ABDULLAH,Dr. Ramadan,,,,ABDULLAH,,a.k.a.,strong,
us-ofac.d2178084c5cd351dbbfe390af257c2db1a2f0e05,Dr. Ramadan Abdullah SHALLAH,Dr. Ramadan Abdullah,,,,SHALLAH,,a.k.a.,strong,
us-ofac.d2178084c5cd351dbbfe390af257c2db1a2f0e05,Ramadan Abdalla Mohamed SHALLAH,Ramadan Abdalla Mohamed,,,,SHALLAH,,a.k.a.,strong,
us-ofac.0184a92d14d5d91547fccccdb41086cfd97357d7,Oliverio Abril CORTEZ,Oliverio Abril,,,,CORTEZ,,f.k.a.,strong,
us-ofac.0184a92d14d5d91547fccccdb41086cfd97357d7,Oliverio ABRIL CORTES,Oliverio,,,,ABRIL CORTES,,a.k.a.,strong,
us-ofac.ef96b1b26d1ef063b6883dcf59d10912ca70f3c8,Carlos Arturo GUZMAN TRUJILLO,Carlos Arturo,,,,GUZMAN TRUJILLO,,a.k.a.,strong,
us-ofac.b1d40a8846a4098d1867f3c954de170aa9f2dbfe,Holmes de Jesus GOMEZ BERRIO,Holmes de Jesus,,,,GOMEZ BERRIO,,a.k.a.,strong,
us-ofac.b815ec03bff77b9dc41a947f49892a47bd60f3b0,INDUSTRIA AVICOLA PALMASECA S.A.,,,,,INDUSTRIA AVICOLA PALMASECA S.A.,,f.k.a.,strong,
us-ofac.bb41c91bce5a2940d8d66d4edda2c56e67dbd74d,INCOVALLE,,,,,INCOVALLE,,a.k.a.,strong,
us-ofac.c0ab35445e096f684bfe664c5744f0667c4be0f7,Jose Ricardo LLENARES REYES,Jose Ricardo,,,,LLENARES REYES,,a.k.a.,strong,
us-ofac.bbad8c14c476d961146156d708761a1bf7c9857f,Delia Nora RAMIREZ CORTES,Delia Nora,,,,RAMIREZ CORTES,,a.k.a.,strong,
us-ofac.33a1bea88fc5b1b40b89aef48d10ce60b33d271a,SOCOVALLE LTDA.,,,,,SOCOVALLE LTDA.,,a.k.a.,strong,
us-ofac.a713ebde277997a08069d923519176fa47bb2100,John Gaby VALENCIA ARIAS,John Gaby,,,,VALENCIA ARIAS,,a.k.a.,strong,
us-ofac.36e9d4cc10270f9b74c30a0eb3749f0474cde23a,Reinel VALENCIA,Reinel,,,,VALENCIA,,a.k.a.,strong,
us-ofac.3a4d33a407c7920b998c3ed50d07fd9aaff20241,VALLECOM,,,,,VALLECOM,,a.k.a.,strong,
us-ofac.19dd1c43aae10759c8c60f4a9ed600cd0be650e3,Maria Deicy VILLEGAS ARIAS,Maria Deicy,,,,VILLEGAS ARIAS,,a.k.a.,strong,
us-ofac.a497afe6de6a6a465c8b80c29a112dc0ac5b2067,IMCOMER,,,,,IMCOMER,,a.k.a.,strong,
us-ofac.217540bb15c7a6a5797d8d05396a953375cc0bc7,COMERCIALIZADORA INTERNACIONAL VALLE DE ORO S.A.,,,,,COMERCIALIZADORA INTERNACIONAL VALLE DE ORO S.A.,,a.k.a.,strong,
us-ofac.411bf7a0e16e80f228342085681b2315e0dabb88,Fanor ARIZABALETA ARZAYUS,Fanor,,,,ARIZABALETA ARZAYUS,,a.k.a.,strong,
us-ofac.27d13db451585b3635ec23111ecbda6539f3c0c3,Fredy GARCIA,Fredy,,,,GARCIA,,a.k.a.,strong,
us-ofac.e621ddc893a57678a5fae64d1e2ce4fc0d3f5546,Maria Norbi SERNA DE PEREZ,Maria Norbi,,,,SERNA DE PEREZ,,a.k.a.,strong,
us-ofac.20cd0e081b93f83e284b79743a602f87b726153c,Carlos Obeimar MAFLA,Carlos Obeimar,,,,MAFLA,,a.k.a.,strong,
us-ofac.20cd0e081b93f83e284b79743a602f87b726153c,Carlos OBEYMAR MAFLA,Carlos,,,,OBEYMAR MAFLA,,f.k.a.,strong,
us-ofac.63ee74869f8f579d50bb7084107ae534841c5e27,AGROPECUARIA LA ROBLEDA S.A.,,,,,AGROPECUARIA LA ROBLEDA S.A.,,f.k.a.,strong,
us-ofac.b013e9b379df246ea44e75a8cced34c7a743d280,AGROPECUARIA BETANIA LTDA.,,,,,AGROPECUARIA BETANIA LTDA.,,f.k.a.,strong,
us-ofac.a76405f7522dba64e96f264050da1103d7302843,IRAN OVERSEAS INVESTMENT BANK PLC,,,,,IRAN OVERSEAS INVESTMENT BANK PLC,,f.k.a.,strong,
us-ofac.a76405f7522dba64e96f264050da1103d7302843,IRAN OVERSEAS INVESTMENT CORPORATION LIMITED,,,,,IRAN OVERSEAS INVESTMENT CORPORATION LIMITED,,f.k.a.,strong,
us-ofac.a76405f7522dba64e96f264050da1103d7302843,IRAN OVERSEAS INVESTMENT BANK LIMITED,,,,,IRAN OVERSEAS INVESTMENT BANK LIMITED,,f.k.a.,strong,
us-ofac.f81f686b3a1b6e59ac1413347eb90c7f76092bd8,AL HARAKAT AL ISLAMIYYA,,,,,AL HARAKAT AL ISLAMIYYA,,a.k.a.,strong,
us-ofac.77b75486af6eb3d88d84741fc977568171f65cf3,GIA,,,,,GIA,,a.k.a.,weak,
us-ofac.77b75486af6eb3d88d84741fc977568171f65cf3,GROUPEMENT ISLAMIQUE ARME,,,,,GROUPEMENT ISLAMIQUE ARME,,a.k.a.,strong,
us-ofac.77b75486af6eb3d88d84741fc977568171f65cf3,AL-JAMA'AH AL-ISLAMIYAH AL-MUSALLAH,,,,,AL-JAMA'AH AL-ISLAMIYAH AL-MUSALLAH,,a.k.a.,strong,
us-ofac.205d689b958710196125890f1aa7ecf8842ddad1,AUM SUPREME TRUTH,,,,,AUM SUPREME TRUTH,,a.k.a.,strong,
us-ofac.205d689b958710196125890f1aa7ecf8842ddad1,A.I.C. SOGO KENKYUSHO,,,,,A.I.C. SOGO KENKYUSHO,,a.k.a.,strong,
us-ofac.205d689b958710196125890f1aa7ecf8842ddad1,A.I.C. COMPREHENSIVE RESEARCH INSTITUTE,,,,,A.I.C. COMPREHENSIVE RESEARCH INSTITUTE,,a.k.a.,strong,
us-ofac.205d689b958710196125890f1aa7ecf8842ddad1,ALEPH,,,,,ALEPH,,a.k.a.,strong,
us-ofac.d331f6a2d31fc3924c267aa6c6109c74bd1de84d,BASQUE FATHERLAND AND LIBERTY,,,,,BASQUE FATHERLAND AND LIBERTY,,a.k.a.,strong,
us-ofac.d331f6a2d31fc3924c267aa6c6109c74bd1de84d,ETA,,,,,ETA,,a.k.a.,weak,
us-ofac.d331f6a2d31fc3924c267aa6c6109c74bd1de84d,BATASUNA,,,,,BATASUNA,,a.k.a.,strong,
us-ofac.d331f6a2d31fc3924c267aa6c6109c74bd1de84d,EUSKAL HERRITARROK,,,,,EUSKAL HERRITARROK,,a.k.a.,strong,
us-ofac.d331f6a2d31fc3924c267aa6c6109c74bd1de84d,HERRI BATASUNA,,,,,HERRI BATASUNA,,a.k.a.,strong,
us-ofac.d331f6a2d31fc3924c267aa6c6109c74bd1de84d,ASKATASUNA,,,,,ASKATASUNA,,a.k.a.,strong,
us-ofac.d331f6a2d31fc3924c267aa6c6109c74bd1de84d,EKIN,,,,,EKIN,,a.k.a.,strong,
us-ofac.d331f6a2d31fc3924c267aa6c6109c74bd1de84d,K.A.S.,,,,,K.A.S.,,a.k.a.,weak,
us-ofac.d331f6a2d31fc3924c267aa6c6109c74bd1de84d,XAKI,,,,,XAKI,,a.k.a.,strong,
us-ofac.d331f6a2d31fc3924c267aa6c6109c74bd1de84d,JARRAI-HAIKA-SEGI,,,,,JARRAI-HAIKA-SEGI,,a.k.a.,strong,
us-ofac.d331f6a2d31fc3924c267aa6c6109c74bd1de84d,EPANASTATIKI PIRINES,,,,,EPANASTATIKI PIRINES,,a.k.a.,strong,
us-ofac.d331f6a2d31fc3924c267aa6c6109c74bd1de84d,POPULAR REVOLUTIONARY STRUGGLE,,,,,POPULAR REVOLUTIONARY STRUGGLE,,a.k.a.,strong,
us-ofac.060bb4f7245b21a7678b2dac65c1d73ec21a092e,ISLAMIC GROUP,,,,,ISLAMIC GROUP,,a.k.a.,strong,
us-ofac.060bb4f7245b21a7678b2dac65c1d73ec21a092e,IG,,,,,IG,,a.k.a.,weak,
us-ofac.060bb4f7245b21a7678b2dac65c1d73ec21a092e,AL-GAMA'AT,,,,,AL-GAMA'AT,,a.k.a.,strong,
us-ofac.060bb4f7245b21a7678b2dac65c1d73ec21a092e,ISLAMIC GAMA'AT,,,,,ISLAMIC GAMA'AT,,a.k.a.,strong,
us-ofac.060bb4f7245b21a7678b2dac65c1d73ec21a092e,EGYPTIAN AL-GAMA'AT AL-ISLAMIYYA,,,,,EGYPTIAN AL-GAMA'AT AL-ISLAMIYYA,,a.k.a.,strong,
us-ofac.060bb4f7245b21a7678b2dac65c1d73ec21a092e,GI,,,,,GI,,a.k.a.,weak,
us-ofac.5a19b18b875b63d7f747864e0cfc4f50cc7f4387,ISLAMIC RESISTANCE MOVEMENT,,,,,ISLAMIC RESISTANCE MOVEMENT,,a.k.a.,strong,
us-ofac.5a19b18b875b63d7f747864e0cfc4f50cc7f4387,HARAKAT AL-MUQAWAMA AL-ISLAMIYA,,,,,HARAKAT AL-MUQAWAMA AL-ISLAMIYA,,a.k.a.,strong,
us-ofac.5a19b18b875b63d7f747864e0cfc4f50cc7f4387,STUDENTS OF AYYASH,,,,,STUDENTS OF AYYASH,,a.k.a.,strong,
us-ofac.5a19b18b875b63d7f747864e0cfc4f50cc7f4387,STUDENTS OF THE ENGINEER,,,,,STUDENTS OF THE ENGINEER,,a.k.a.,strong,
us-ofac.5a19b18b875b63d7f747864e0cfc4f50cc7f4387,YAHYA AYYASH UNITS,,,,,YAHYA AYYASH UNITS,,a.k.a.,strong,
us-ofac.5a19b18b875b63d7f747864e0cfc4f50cc7f4387,IZZ AL-DIN AL-QASSIM BRIGADES,,,,,IZZ AL-DIN AL-QASSIM BRIGADES,,a.k.a.,strong,
us-ofac.5a19b18b875b63d7f747864e0cfc4f50cc7f4387,IZZ AL-DIN AL-QASSIM FORCES,,,,,IZZ AL-DIN AL-QASSIM FORCES,,a.k.a.,strong,
us-ofac.5a19b18b875b63d7f747864e0cfc4f50cc7f4387,IZZ AL-DIN AL-QASSIM BATTALIONS,,,,,IZZ AL-DIN AL-QASSIM BATTALIONS,,a.k.a.,strong,
us-ofac.5a19b18b875b63d7f747864e0cfc4f50cc7f4387,IZZ AL-DIN AL QASSAM BRIGADES,,,,,IZZ AL-DIN AL QASSAM BRIGADES,,a.k.a.,strong,
us-ofac.5a19b18b875b63d7f747864e0cfc4f50cc7f4387,IZZ AL-DIN AL QASSAM FORCES,,,,,IZZ AL-DIN AL QASSAM FORCES,,a.k.a.,strong,
us-ofac.5a19b18b875b63d7f747864e0cfc4f50cc7f4387,IZZ AL-DIN AL QASSAM BATTALIONS,,,,,IZZ AL-DIN AL QASSAM BATTALIONS,,a.k.a.,strong,
us-ofac.6bb460e1c2032df6829debde95151edeac7cbb53,HUA,,,,,HUA,,a.k.a.,weak,
us-ofac.6bb460e1c2032df6829debde95151edeac7cbb53,HARAKAT UL-ANSAR,,,,,HARAKAT UL-ANSAR,,a.k.a.,strong,
us-ofac.6bb460e1c2032df6829debde95151edeac7cbb53,HUM,,,,,HUM,,a.k.a.,weak,
us-ofac.6bb460e1c2032df6829debde95151edeac7cbb53,HARAKAT UL-MUJAHIDIN,,,,,HARAKAT UL-MUJAHIDIN,,a.k.a.,strong,
us-ofac.6bb460e1c2032df6829debde95151edeac7cbb53,AL-FARAN,,,,,AL-FARAN,,a.k.a.,strong,
us-ofac.6bb460e1c2032df6829debde95151edeac7cbb53,AL-HADID,,,,,AL-HADID,,a.k.a.,strong,
us-ofac.6bb460e1c2032df6829debde95151edeac7cbb53,AL-HADITH,,,,,AL-HADITH,,a.k.a.,strong,
us-ofac.6bb460e1c2032df6829debde95151edeac7cbb53,JAMIAT UL-ANSAR,,,,,JAMIAT UL-ANSAR,,a.k.a.,strong,
us-ofac.6bb460e1c2032df6829debde95151edeac7cbb53,ANSAR-UL-UMMAH,,,,,ANSAR-UL-UMMAH,,a.k.a.,strong,
us-ofac.85e215aca73c6ed5aa949199f6331df226f17236,PARTY OF GOD,,,,,PARTY OF GOD,,a.k.a.,strong,
us-ofac.85e215aca73c6ed5aa949199f6331df226f17236,ISLAMIC JIHAD,,,,,ISLAMIC JIHAD,,a.k.a.,strong,
us-ofac.85e215aca73c6ed5aa949199f6331df226f17236,ISLAMIC JIHAD ORGANIZATION,,,,,ISLAMIC JIHAD ORGANIZATION,,a.k.a.,strong,
us-ofac.85e215aca73c6ed5aa949199f6331df226f17236,REVOLUTIONARY JUSTICE ORGANIZATION,,,,,REVOLUTIONARY JUSTICE ORGANIZATION,,a.k.a.,strong,
us-ofac.85e215aca73c6ed5aa949199f6331df226f17236,ORGANIZATION OF THE OPPRESSED ON EARTH,,,,,ORGANIZATION OF THE OPPRESSED ON EARTH,,a.k.a.,strong,
us-ofac.85e215aca73c6ed5aa949199f6331df226f17236,ISLAMIC JIHAD FOR THE LIBERATION OF PALESTINE,,,,,ISLAMIC JIHAD FOR THE LIBERATION OF PALESTINE,,a.k.a.,strong,
us-ofac.85e215aca73c6ed5aa949199f6331df226f17236,ORGANIZATION OF RIGHT AGAINST WRONG,,,,,ORGANIZATION OF RIGHT AGAINST WRONG,,a.k.a.,strong,
us-ofac.85e215aca73c6ed5aa949199f6331df226f17236,ANSAR ALLAH,,,,,ANSAR ALLAH,,a.k.a.,strong,
us-ofac.85e215aca73c6ed5aa949199f6331df226f17236,FOLLOWERS OF THE PROPHET MUHAMMED,,,,,FOLLOWERS OF THE PROPHET MUHAMMED,,a.k.a.,strong,
us-ofac.85e215aca73c6ed5aa949199f6331df226f17236,LEBANESE HIZBALLAH,,,,,LEBANESE HIZBALLAH,,a.k.a.,strong,
us-ofac.85e215aca73c6ed5aa949199f6331df226f17236,LEBANESE HEZBOLLAH,,,,,LEBANESE HEZBOLLAH,,a.k.a.,strong,
us-ofac.85e215aca73c6ed5aa949199f6331df226f17236,LH,,,,,LH,,a.k.a.,weak,
us-ofac.85e215aca73c6ed5aa949199f6331df226f17236,FOREIGN RELATIONS DEPARTMENT,,,,,FOREIGN RELATIONS DEPARTMENT,,a.k.a.,weak,
us-ofac.85e215aca73c6ed5aa949199f6331df226f17236,FRD,,,,,FRD,,a.k.a.,weak,
us-ofac.85e215aca73c6ed5aa949199f6331df226f17236,EXTERNAL SECURITY ORGANIZATION,,,,,EXTERNAL SECURITY ORGANIZATION,,a.k.a.,weak,
us-ofac.85e215aca73c6ed5aa949199f6331df226f17236,ESO,,,,,ESO,,a.k.a.,weak,
us-ofac.85e215aca73c6ed5aa949199f6331df226f17236,FOREIGN ACTION UNIT,,,,,FOREIGN ACTION UNIT,,a.k.a.,weak,
us-ofac.85e215aca73c6ed5aa949199f6331df226f17236,HIZBALLAH ESO,,,,,HIZBALLAH ESO,,a.k.a.,strong,
us-ofac.85e215aca73c6ed5aa949199f6331df226f17236,HIZBALLAH INTERNATIONAL,,,,,HIZBALLAH INTERNATIONAL,,a.k.a.,strong,
us-ofac.85e215aca73c6ed5aa949199f6331df226f17236,SPECIAL OPERATIONS BRANCH,,,,,SPECIAL OPERATIONS BRANCH,,a.k.a.,weak,
us-ofac.85e215aca73c6ed5aa949199f6331df226f17236,EXTERNAL SERVICES ORGANIZATION,,,,,EXTERNAL SERVICES ORGANIZATION,,a.k.a.,weak,
us-ofac.85e215aca73c6ed5aa949199f6331df226f17236,EXTERNAL SECURITY ORGANIZATION OF HEZBOLLAH,,,,,EXTERNAL SECURITY ORGANIZATION OF HEZBOLLAH,,a.k.a.,strong,
us-ofac.3394a00ef2fbe8de2638c53e61cbe41f5e062d8f,REPRESSION OF TRAITORS,,,,,REPRESSION OF TRAITORS,,a.k.a.,strong,
us-ofac.3394a00ef2fbe8de2638c53e61cbe41f5e062d8f,DIKUY BOGDIM,,,,,DIKUY BOGDIM,,a.k.a.,strong,
us-ofac.3394a00ef2fbe8de2638c53e61cbe41f5e062d8f,DOV,,,,,DOV,,a.k.a.,strong,
us-ofac.3394a00ef2fbe8de2638c53e61cbe41f5e062d8f,STATE OF JUDEA,,,,,STATE OF JUDEA,,a.k.a.,strong,
us-ofac.3394a00ef2fbe8de2638c53e61cbe41f5e062d8f,COMMITTEE FOR THE SAFETY OF THE ROADS,,,,,COMMITTEE FOR THE SAFETY OF THE ROADS,,a.k.a.,strong,
us-ofac.3394a00ef2fbe8de2638c53e61cbe41f5e062d8f,SWORD OF DAVID,,,,,SWORD OF DAVID,,a.k.a.,strong,
us-ofac.3394a00ef2fbe8de2638c53e61cbe41f5e062d8f,JUDEA POLICE,,,,,JUDEA POLICE,,a.k.a.,strong,
us-ofac.3394a00ef2fbe8de2638c53e61cbe41f5e062d8f,KAHANE LIVES,,,,,KAHANE LIVES,,a.k.a.,strong,
us-ofac.3394a00ef2fbe8de2638c53e61cbe41f5e062d8f,KFAR TAPUAH FUND,,,,,KFAR TAPUAH FUND,,a.k.a.,strong,
us-ofac.3394a00ef2fbe8de2638c53e61cbe41f5e062d8f,THE JUDEAN VOICE,,,,,THE JUDEAN VOICE,,a.k.a.,strong,
us-ofac.3394a00ef2fbe8de2638c53e61cbe41f5e062d8f,FOREFRONT OF THE IDEA,,,,,FOREFRONT OF THE IDEA,,a.k.a.,strong,
us-ofac.3394a00ef2fbe8de2638c53e61cbe41f5e062d8f,THE QOMEMIYUT MOVEMENT,,,,,THE QOMEMIYUT MOVEMENT,,a.k.a.,strong,
us-ofac.3394a00ef2fbe8de2638c53e61cbe41f5e062d8f,THE JUDEAN LEGION,,,,,THE JUDEAN LEGION,,a.k.a.,strong,
us-ofac.3394a00ef2fbe8de2638c53e61cbe41f5e062d8f,THE WAY OF THE TORAH,,,,,THE WAY OF THE TORAH,,a.k.a.,strong,
us-ofac.3394a00ef2fbe8de2638c53e61cbe41f5e062d8f,THE YESHIVA OF THE JEWISH IDEA,,,,,THE YESHIVA OF THE JEWISH IDEA,,a.k.a.,strong,
us-ofac.3394a00ef2fbe8de2638c53e61cbe41f5e062d8f,KOACH,,,,,KOACH,,a.k.a.,strong,
us-ofac.3394a00ef2fbe8de2638c53e61cbe41f5e062d8f,KACH,,,,,KACH,,a.k.a.,strong,
us-ofac.3394a00ef2fbe8de2638c53e61cbe41f5e062d8f,NEW KACH MOVEMENT,,,,,NEW KACH MOVEMENT,,a.k.a.,strong,
us-ofac.3394a00ef2fbe8de2638c53e61cbe41f5e062d8f,NEWKACH.ORG,,,,,NEWKACH.ORG,,a.k.a.,strong,
us-ofac.3394a00ef2fbe8de2638c53e61cbe41f5e062d8f,KAHANE,,,,,KAHANE,,a.k.a.,strong,
us-ofac.3394a00ef2fbe8de2638c53e61cbe41f5e062d8f,YESHIVAT HARAV MEIR,,,,,YESHIVAT HARAV MEIR,,a.k.a.,strong,
us-ofac.3394a00ef2fbe8de2638c53e61cbe41f5e062d8f,THE INTERNATIONAL KAHANE MOVEMENT,,,,,THE INTERNATIONAL KAHANE MOVEMENT,,a.k.a.,strong,
us-ofac.3394a00ef2fbe8de2638c53e61cbe41f5e062d8f,KAHANE.ORG,,,,,KAHANE.ORG,,a.k.a.,strong,
us-ofac.3394a00ef2fbe8de2638c53e61cbe41f5e062d8f,JEWISH IDEA YESHIVA,,,,,JEWISH IDEA YESHIVA,,a.k.a.,strong,
us-ofac.3394a00ef2fbe8de2638c53e61cbe41f5e062d8f,KAHANETZADAK.COM,,,,,KAHANETZADAK.COM,,a.k.a.,strong,
